label,"Total de población"
2021,12079472
2020,11936162
2019,11777315
2018,11606905
2017,11435533
2016,11263015
2015,11090085
2014,10916987
2013,10743349
2012,10569697
2011,10396246
2010,10223270
2009,10051317
2008,9880593
2007,9711152
2006,9542663
2005,9377388
2004,9216279
2003,9057378
2002,8900583
2001,8746084
2000,8592656
1999,8439052
1998,8286928
1997,8137619
1996,7989367
1995,7841471
1994,7693722
1993,7544489
1992,7394419
1991,7244891
1990,7096194
1989,6949139
1988,6804072
1987,6661434
1986,6521983
1985,6385630
1984,6251926
1983,6120620
1982,5991118
1981,5862990
1980,5736088
1979,5610380
1978,5486132
1977,5363917
1976,5244355
1975,5127776
1974,5013765
1973,4902248
1972,4793804
1971,4688267
1970,4585693
1969,4486098
1968,4389249
1967,4295269
1966,4204065
1965,4115511
1964,4029472
1963,3945729
1962,3864140
1961,3784744
1960,3707515
