label,"Total de población"
2021,7888408686
2020,7820981524
2019,7742681934
2018,7661776338
2017,7578157615
2016,7491934113
2015,7404910892
2014,7317508753
2013,7229184551
2012,7140895722
2011,7053533350
2010,6969631901
2009,6885490816
2008,6801408360
2007,6717641730
2006,6634935638
2005,6552571570
2004,6470821068
2003,6389383352
2002,6308092739
2001,6226339538
2000,6144322697
1999,6062281732
1998,5979730356
1997,5896077736
1996,5811624986
1995,5726801833
1994,5642128764
1993,5556722537
1992,5470276947
1991,5382656065
1990,5293517142
1989,5202698711
1988,5113492328
1987,5024386163
1986,4936097368
1985,4850160867
1984,4766716805
1983,4684941826
1982,4602763792
1981,4520991254
1980,4442440474
1979,4365850756
1978,4289914737
1977,4215940807
1976,4143194666
1975,4070114517
1974,3995972023
1973,3920099706
1972,3843695351
1971,3768023181
1970,3690306927
1969,3614668576
1968,3540254815
1967,3468457168
1966,3398561224
1965,3328284623
1964,3260517816
1963,3193508879
1962,3126934725
1961,3072510552
1960,3031564839
